-130 0.000010 0.000005
-126 0.000020 0.000009
-122 0.000030 0.000015
-120 0.000020 0.000019
-118 0.000020 0.000024
-116 0.000030 0.000030
-114 0.000040 0.000038
-112 0.000050 0.000048
-110 0.000060 0.000059
-108 0.000050 0.000074
-106 0.000120 0.000092
-104 0.000120 0.000113
-102 0.000180 0.000139
-100 0.000090 0.000170
-98 0.000200 0.000207
-96 0.000300 0.000252
-94 0.000240 0.000304
-92 0.000330 0.000366
-90 0.000450 0.000440
-88 0.000450 0.000525
-86 0.000420 0.000625
-84 0.000840 0.000741
-82 0.000780 0.000875
-80 0.001040 0.001028
-78 0.001270 0.001205
-76 0.001340 0.001405
-74 0.001790 0.001632
-72 0.001950 0.001889
-70 0.002120 0.002177
-68 0.002350 0.002499
-66 0.002880 0.002858
-64 0.003190 0.003255
-62 0.003680 0.003692
-60 0.004270 0.004171
-58 0.004830 0.004693
-56 0.005160 0.005260
-54 0.006430 0.005871
-52 0.006390 0.006528
-50 0.007310 0.007229
-48 0.008130 0.007973
-46 0.008850 0.008759
-44 0.009390 0.009584
-42 0.010270 0.010445
-40 0.011720 0.011337
-38 0.012820 0.012257
-36 0.013050 0.013198
-34 0.013770 0.014155
-32 0.015040 0.015121
-30 0.015730 0.016088
-28 0.016870 0.017049
-26 0.018790 0.017995
-24 0.018810 0.018917
-22 0.019910 0.019808
-20 0.020810 0.020658
-18 0.021630 0.021458
-16 0.021930 0.022200
-14 0.022740 0.022876
-12 0.023340 0.023479
-10 0.024000 0.024001
-8 0.024260 0.024437
-6 0.024810 0.024781
-4 0.025720 0.025030
-2 0.024550 0.025181
0 0.025420 0.025231
2 0.024130 0.025181
4 0.025420 0.025030
6 0.024770 0.024781
8 0.024080 0.024437
10 0.024030 0.024001
12 0.023220 0.023479
14 0.022500 0.022876
16 0.021970 0.022200
18 0.021280 0.021458
20 0.021020 0.020658
22 0.020250 0.019808
24 0.019140 0.018917
26 0.017840 0.017995
28 0.017130 0.017049
30 0.016440 0.016088
32 0.014990 0.015121
34 0.014100 0.014155
36 0.013360 0.013198
38 0.012620 0.012257
40 0.011200 0.011337
42 0.010960 0.010445
44 0.009570 0.009584
46 0.008740 0.008759
48 0.007840 0.007973
50 0.006960 0.007229
52 0.006660 0.006528
54 0.005830 0.005871
56 0.005020 0.005260
58 0.004620 0.004693
60 0.004280 0.004171
62 0.003590 0.003692
64 0.003040 0.003255
66 0.002610 0.002858
68 0.002870 0.002499
70 0.002350 0.002177
72 0.001780 0.001889
74 0.001750 0.001632
76 0.001540 0.001405
78 0.001160 0.001205
80 0.001110 0.001028
82 0.000820 0.000875
84 0.000710 0.000741
86 0.000730 0.000625
88 0.000510 0.000525
90 0.000410 0.000440
92 0.000310 0.000366
94 0.000270 0.000304
96 0.000240 0.000252
98 0.000210 0.000207
100 0.000140 0.000170
102 0.000100 0.000139
104 0.000070 0.000113
106 0.000120 0.000092
108 0.000080 0.000074
110 0.000100 0.000059
112 0.000040 0.000048
114 0.000020 0.000038
116 0.000040 0.000030
120 0.000050 0.000019
122 0.000010 0.000015
130 0.000010 0.000005
136 0.000020 0.000002
142 0.000010 0.000001
